TAZID,AREATYPE,CO_TAZID,CO_FIPS,SUBAREAID,TOTAL_P,TOTAL_A,TOTPER_P,TOTPER_A,TOTEXT_P,TOTEXT_A,TOTTRK_P,TOTTRK_A,TOTTRKIX_P,TOTTRKIX_A,TOTTRKXI_P,TOTTRKXI_A,HBW_P,HBW_A,HBSHP_P,HBSHP_A,HBOTH_P,HBOTH_A,HBSCHPR_P,HBSCHPR_A,HBSCHSC_P,HBSCHSC_A,NHBW_P,NHBW_A,NHBNW_P,NHBNW_A,HBC_P,HBC_A,TTUNIQUE_P,TTUNIQUE_A,IX_P,IX_A,XI_P,XI_A,LT_P,LT_A,MD_P,MD_A,HV_P,HV_A,IX_MD_P,IX_MD_A,IX_HV_P,IX_HV_A,XI_MD_P,XI_MD_A,XI_HV_P,XI_HV_A
911,2,350006,35,1,898.9,3074.9,671.1,2698.7,0.0,134.7,222.9,223.8,7.2,0.0,0.0,21.5,0.0,1567.0,0.0,33.8,1.0,432.2,0.0,0.0,0.0,0.0,381.7,384.4,287.4,281.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,134.7,34.1,33.2,140.3,142.1,48.5,48.5,3.6,0.0,3.6,0.0,0.0,10.8,0.0,10.8
912,2,350007,35,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
913,1,350008,35,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
914,2,350009,35,1,3.1,29.4,2.3,27.8,0.0,0.8,0.8,0.8,0.0,0.0,0.0,0.0,0.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.1,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
915,1,350010,35,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
916,2,350011,35,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
917,3,350012,35,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
918,1,350013,35,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
919,1,350014,35,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
920,1,350015,35,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
921,1,350016,35,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
922,1,350017,35,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
923,1,350018,35,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
924,1,350019,35,1,1.0,285.2,2.0,283.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
925,1,350020,35,1,393.7,1748.0,247.7,1589.3,0.0,13.4,145.5,145.4,1.9,0.0,0.0,1.9,0.0,1264.8,0.0,4.9,1.0,73.8,0.0,0.0,0.0,0.0,202.6,203.3,43.1,42.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.4,21.5,20.8,92.4,93.0,31.7,31.6,1.0,0.0,0.9,0.0,0.0,1.0,0.0,0.9
926,1,350021,35,1,3413.9,2156.5,3195.3,1938.1,21.2,15.5,203.8,203.6,2.4,0.0,0.0,2.5,563.6,215.7,302.9,58.9,1635.7,1185.3,99.6,0.0,101.4,0.0,162.6,162.8,320.4,315.3,5.0,0.0,4.0,0.0,21.2,0.0,0.0,15.5,38.3,37.3,132.8,133.6,32.6,32.8,1.5,0.0,1.0,0.0,0.0,1.5,0.0,1.0
927,1,350022,35,1,10.7,105.2,5.8,99.4,0.0,0.9,4.8,4.9,0.1,0.0,0.0,0.1,0.0,48.1,0.0,0.0,0.0,45.7,0.0,0.0,0.0,0.0,5.6,5.5,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.4,0.4,4.2,4.2,0.3,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
928,1,350023,35,1,6.4,44.2,4.5,41.9,0.0,0.4,1.8,1.8,0.1,0.0,0.0,0.1,0.0,36.6,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,4.4,4.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.1,1.7,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
929,1,350024,35,1,11.4,68.2,8.1,64.3,0.0,0.6,3.2,3.2,0.1,0.0,0.0,0.1,0.0,52.8,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,7.2,7.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.3,2.8,2.8,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
930,1,350025,35,1,576.1,2031.9,421.6,1863.5,0.0,15.1,154.3,154.0,1.9,0.0,0.0,1.9,0.0,1128.2,0.0,17.7,1.0,300.7,0.0,0.0,0.0,0.0,254.7,254.6,164.9,162.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.1,22.9,22.2,97.9,98.3,33.5,33.5,1.1,0.0,0.9,0.0,0.0,1.0,0.0,0.9
931,2,350026,35,1,153.4,748.2,87.9,677.7,0.0,5.7,64.7,64.5,0.9,0.0,0.0,0.8,0.0,589.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.9,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,8.6,8.3,42.2,42.2,13.9,13.9,0.5,0.0,0.4,0.0,0.0,0.4,0.0,0.4
932,2,350027,35,1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
933,2,350028,35,1,2438.5,1114.6,2310.4,988.6,16.2,6.9,119.6,118.6,1.2,0.0,0.0,1.3,457.8,2.5,225.2,0.0,1281.7,832.7,90.8,0.0,92.8,0.0,43.2,42.9,112.0,110.5,1.0,0.0,6.0,0.0,16.2,0.0,0.0,6.9,22.8,22.0,79.5,79.2,17.4,17.4,0.8,0.0,0.4,0.0,0.0,0.8,0.0,0.5
934,2,350029,35,1,1815.5,840.5,1719.6,746.5,11.0,4.7,89.4,89.0,0.8,0.0,0.0,0.7,347.1,1.7,172.7,0.0,951.3,628.8,63.3,0.0,64.8,0.0,32.6,32.3,84.9,83.7,0.0,0.0,3.0,0.0,11.0,0.0,0.0,4.7,16.7,16.4,59.7,59.7,12.9,12.9,0.5,0.0,0.3,0.0,0.0,0.5,0.0,0.3
935,2,350030,35,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
936,2,350031,35,1,905.7,367.5,868.1,329.8,5.4,2.0,36.1,35.6,0.3,0.0,0.0,0.3,165.9,1.3,87.0,0.0,484.4,280.2,38.6,0.0,39.6,0.0,13.0,12.8,36.5,35.5,0.0,0.0,3.0,0.0,5.4,0.0,0.0,2.0,5.7,5.5,25.8,25.5,4.6,4.5,0.2,0.0,0.1,0.0,0.0,0.2,0.0,0.1
937,2,350032,35,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
938,2,350033,35,1,565.9,227.0,543.7,205.2,3.1,1.2,20.6,20.5,0.2,0.0,0.0,0.1,102.9,0.1,53.1,0.0,300.3,175.7,24.4,0.0,25.1,0.0,7.6,7.5,22.2,21.9,7.0,0.0,1.0,0.0,3.1,0.0,0.0,1.2,2.9,2.9,15.3,15.3,2.3,2.3,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0
939,2,350034,35,1,1387.7,3905.7,1078.7,3554.4,4.4,39.9,308.4,309.6,6.6,0.0,0.0,6.8,95.3,1017.5,50.3,160.0,276.3,1756.6,15.0,0.0,15.5,0.0,252.7,255.2,365.6,365.1,0.0,0.0,8.0,0.0,4.4,0.0,0.0,39.9,48.5,47.8,195.2,196.8,64.7,65.0,3.4,0.0,3.2,0.0,0.0,3.5,0.0,3.3
940,2,350035,35,1,266.8,1052.4,198.0,960.4,0.0,10.3,81.3,81.6,1.7,0.0,0.0,1.8,0.0,257.5,0.0,48.4,14.0,483.1,0.0,0.0,0.0,0.0,72.7,73.8,97.3,97.5,0.0,0.0,14.0,0.0,0.0,0.0,0.0,10.3,11.2,11.1,52.5,52.9,17.7,17.7,0.9,0.0,0.8,0.0,0.0,0.9,0.0,0.9
941,3,350036,35,1,2573.1,2394.4,2427.2,2210.8,21.5,16.5,166.0,166.1,3.6,0.0,0.0,3.8,429.8,181.7,224.7,0.0,1254.2,872.6,69.1,0.0,70.6,824.4,121.2,122.7,208.6,209.3,6.0,0.0,43.0,0.0,21.5,0.0,0.0,16.5,30.3,29.7,108.2,109.1,27.5,27.3,2.1,0.0,1.5,0.0,0.0,2.1,0.0,1.6
942,2,350037,35,1,1374.5,4221.2,1081.3,3872.8,0.0,51.7,293.3,294.2,5.6,0.0,0.0,6.5,0.0,1652.2,0.0,0.6,4.0,1162.4,0.0,0.0,0.0,0.0,538.5,542.8,534.8,514.7,0.0,0.0,4.0,0.0,0.0,0.0,0.0,51.7,45.1,43.7,184.6,186.8,63.6,63.7,2.8,0.0,2.7,0.0,0.0,3.3,0.0,3.1
943,2,350038,35,1,1.9,14.1,1.6,13.6,0.0,0.2,0.3,0.3,0.0,0.0,0.0,0.0,0.0,11.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,1.2,1.2,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.1,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
944,3,350039,35,1,995.1,3426.5,732.4,3120.9,0.0,38.0,264.1,265.2,6.3,0.0,0.0,6.8,0.0,864.1,0.0,258.5,7.0,1273.4,0.0,0.0,0.0,0.0,271.2,275.1,447.3,449.8,0.0,0.0,7.0,0.0,0.0,0.0,0.0,38.0,39.9,39.2,166.8,168.2,57.5,57.7,3.3,0.0,3.1,0.0,0.0,3.4,0.0,3.4
945,2,350040,35,1,480.2,1791.5,352.3,1631.1,0.0,19.7,138.8,139.5,3.5,0.0,0.0,3.6,0.0,569.1,0.0,118.6,14.0,615.9,0.0,0.0,0.0,0.0,142.8,144.7,181.5,182.8,0.0,0.0,14.0,0.0,0.0,0.0,0.0,19.7,20.2,20.1,88.4,89.3,30.2,30.2,1.8,0.0,1.7,0.0,0.0,1.8,0.0,1.8
946,3,350041,35,1,570.4,1952.6,436.9,1790.6,0.0,20.7,139.6,140.5,3.3,0.0,0.0,3.3,0.0,514.5,0.0,167.5,9.0,683.3,0.0,0.0,0.0,0.0,158.9,161.7,260.1,263.6,0.0,0.0,9.0,0.0,0.0,0.0,0.0,20.7,20.3,20.1,88.8,89.8,30.5,30.6,1.7,0.0,1.6,0.0,0.0,1.7,0.0,1.7
947,3,350042,35,1,4130.7,9245.1,6037.8,8320.5,0.0,87.2,822.4,824.4,16.5,0.0,0.0,16.6,0.0,2846.0,0.0,15.5,2744.0,4903.7,0.0,0.0,0.0,0.0,461.3,466.3,88.5,89.0,0.0,0.0,2744.0,0.0,0.0,0.0,0.0,87.2,127.7,125.2,516.3,520.5,178.4,178.6,8.5,0.0,8.0,0.0,0.0,8.3,0.0,8.3
948,2,350043,35,1,420.4,1650.3,295.9,1483.8,0.4,18.7,145.9,146.7,3.6,0.0,0.0,3.8,8.0,410.9,4.3,60.5,46.1,799.7,0.8,0.0,0.8,0.0,93.8,95.2,117.1,117.5,0.0,0.0,25.0,0.0,0.4,0.0,0.0,18.7,21.6,21.5,92.9,93.7,31.4,31.5,1.8,0.0,1.7,0.0,0.0,1.9,0.0,1.9
949,3,350044,35,1,849.6,1965.4,689.9,1782.8,2.5,21.1,159.2,160.1,3.8,0.0,0.0,3.9,53.5,455.3,28.1,193.5,139.0,677.9,4.6,0.0,5.0,0.0,146.1,148.4,303.5,307.7,5.0,0.0,5.0,0.0,2.5,0.0,0.0,21.1,24.2,23.9,101.7,102.7,33.3,33.5,2.0,0.0,1.8,0.0,0.0,2.0,0.0,1.9
950,3,350045,35,1,222.4,987.3,148.6,900.4,0.0,12.4,73.5,73.9,1.6,0.0,0.0,1.9,0.0,239.7,0.0,58.1,1.0,455.9,0.0,0.0,0.0,0.0,63.7,64.3,82.9,82.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.4,10.1,10.0,47.3,47.8,16.0,16.1,0.8,0.0,0.8,0.0,0.0,1.0,0.0,0.9
951,3,350046,35,1,17832.3,6618.5,16931.9,5757.0,163.1,68.7,777.4,780.1,16.5,0.0,0.0,17.8,2897.3,88.1,1611.4,56.7,9310.0,3991.0,838.7,492.8,855.3,0.0,317.9,323.6,797.2,804.8,254.0,0.0,50.0,0.0,163.1,0.0,0.0,68.7,152.8,150.4,506.7,511.4,117.9,118.3,10.1,0.0,6.4,0.0,0.0,10.7,0.0,7.1
952,3,350047,35,1,1706.1,992.3,1583.2,870.1,15.3,11.4,109.0,109.4,2.5,0.0,0.0,2.7,274.8,83.6,157.6,13.2,845.8,587.9,56.6,0.0,58.2,0.0,60.0,61.1,123.2,124.3,5.0,0.0,2.0,0.0,15.3,0.0,0.0,11.4,19.1,18.9,71.8,72.4,18.1,18.1,1.5,0.0,1.1,0.0,0.0,1.5,0.0,1.2
953,3,350048,35,1,297.9,1381.5,231.4,1305.9,0.0,10.6,65.0,65.3,1.7,0.0,0.0,1.7,0.0,271.1,0.0,29.8,0.0,331.9,0.0,438.3,0.0,0.0,99.8,101.4,131.6,133.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,8.5,8.5,42.6,42.9,13.9,13.9,0.8,0.0,0.8,0.0,0.0,0.9,0.0,0.9
954,1,350049,35,1,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
955,2,350050,35,1,30.1,112.9,25.5,105.6,0.0,1.7,5.4,5.5,0.2,0.0,0.0,0.2,0.0,68.4,0.0,0.6,1.0,13.2,0.0,0.0,0.0,0.0,14.1,14.2,9.4,9.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.7,0.3,0.3,4.5,4.5,0.7,0.7,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1
956,2,350051,35,1,340.4,1462.5,212.5,1312.0,0.0,21.2,126.2,126.5,3.0,0.0,0.0,3.6,0.0,1046.5,0.0,3.2,1.0,49.6,0.0,0.0,0.0,0.0,175.3,177.7,35.2,35.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.2,18.9,18.5,79.8,80.6,27.5,27.4,1.5,0.0,1.5,0.0,0.0,1.8,0.0,1.8
957,2,350052,35,1,2321.6,10277.6,1444.4,9277.2,0.0,119.7,868.3,867.1,17.2,0.0,0.0,19.5,0.0,5385.5,0.0,236.7,4.0,2222.2,0.0,0.0,0.0,0.0,958.0,963.5,478.4,469.3,0.0,0.0,4.0,0.0,0.0,0.0,0.0,119.7,134.8,129.2,545.3,549.3,188.3,188.6,8.8,0.0,8.4,0.0,0.0,9.9,0.0,9.5
958,3,350053,35,1,2944.9,17877.2,1556.0,16127.9,0.0,240.9,1467.4,1473.3,33.9,0.0,0.0,40.5,0.0,7543.0,0.0,76.6,108.0,7158.3,0.0,0.0,0.0,0.0,1153.3,1164.6,186.7,185.4,0.0,0.0,108.0,0.0,0.0,0.0,0.0,240.9,228.1,223.3,920.6,930.7,318.8,319.2,17.3,0.0,16.6,0.0,0.0,20.4,0.0,20.2
959,3,350054,35,1,1357.9,5566.4,954.5,5009.7,0.0,67.4,479.4,481.4,11.9,0.0,0.0,13.0,0.0,2375.5,0.0,102.1,86.0,1738.8,0.0,0.0,0.0,0.0,467.2,475.2,315.3,318.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,67.4,73.8,72.5,301.6,304.8,104.1,104.1,6.1,0.0,5.8,0.0,0.0,6.5,0.0,6.4
960,3,350055,35,1,8652.8,6309.2,8135.8,5728.0,74.5,68.0,505.3,507.5,11.5,0.0,0.0,12.8,1305.6,422.6,704.4,458.4,3984.0,2413.6,296.3,862.8,302.6,124.3,404.2,412.4,1021.6,1034.0,48.0,0.0,69.0,0.0,74.5,0.0,0.0,68.0,93.5,91.8,326.5,329.9,85.3,85.7,6.8,0.0,4.8,0.0,0.0,7.3,0.0,5.5
961,3,350056,35,1,7890.1,4842.7,7374.1,4346.0,75.1,42.0,446.6,448.5,10.0,0.0,0.0,10.8,1338.3,220.9,761.7,2.8,4012.5,2283.1,264.2,559.9,269.7,575.5,226.1,230.1,466.6,473.7,24.0,0.0,11.0,0.0,75.1,0.0,0.0,42.0,86.0,84.5,290.5,293.8,70.0,70.2,6.0,0.0,3.9,0.0,0.0,6.4,0.0,4.4
962,3,350057,35,1,4857.9,2416.4,4535.4,2095.0,46.5,27.3,287.7,289.3,6.5,0.0,0.0,7.1,861.1,47.4,455.2,67.4,2421.5,1490.1,134.3,0.0,137.3,0.0,133.6,136.3,348.3,353.8,29.0,0.0,15.0,0.0,46.5,0.0,0.0,27.3,55.2,54.5,187.9,190.0,44.6,44.8,3.9,0.0,2.6,0.0,0.0,4.2,0.0,2.8
963,4,350058,35,1,2327.5,7731.5,1667.1,6968.4,1.7,82.2,667.1,669.8,15.7,0.0,0.0,16.8,34.9,3096.5,18.4,322.9,111.7,2045.1,3.2,0.0,3.5,0.0,683.7,698.0,790.7,806.0,0.0,0.0,21.0,0.0,1.7,0.0,0.0,82.2,103.9,102.6,419.4,423.3,143.8,143.9,8.2,0.0,7.5,0.0,0.0,8.5,0.0,8.3
964,4,350059,35,1,5102.2,2313.9,4781.6,1984.2,44.9,22.8,301.5,303.2,5.7,0.0,0.0,6.0,1036.4,7.5,494.9,0.0,2562.3,1578.4,126.1,0.0,128.4,0.0,109.0,111.7,279.4,286.5,18.0,0.0,27.0,0.0,44.9,0.0,0.0,22.8,59.3,58.4,197.3,199.8,44.9,44.9,3.6,0.0,2.1,0.0,0.0,3.6,0.0,2.4
965,3,350060,35,1,5724.3,64105.5,3305.8,95846.6,0.0,320.4,2380.9,2392.4,50.1,0.0,0.0,55.7,0.0,11605.9,0.0,253.7,8.0,46156.1,0.0,0.0,0.0,0.0,2164.5,2194.1,1125.4,1132.8,0.0,0.0,8.0,34504.0,0.0,0.0,0.0,320.4,371.1,365.0,1492.4,1508.8,517.5,518.6,25.7,0.0,24.4,0.0,0.0,27.9,0.0,27.8
966,4,350061,35,1,2342.4,1131.7,2208.7,996.4,21.0,13.5,119.9,120.4,2.6,0.0,0.0,2.9,370.2,55.9,208.4,53.0,1155.2,593.3,80.1,0.0,81.9,0.0,81.8,83.2,208.0,210.9,15.0,0.0,8.0,0.0,21.0,0.0,0.0,13.5,22.2,22.0,79.2,79.9,18.5,18.5,1.6,0.0,1.1,0.0,0.0,1.7,0.0,1.2
967,3,350062,35,1,3483.5,1774.9,3287.0,1550.2,33.1,21.2,199.5,200.5,4.5,0.0,0.0,5.0,613.8,124.8,318.9,18.4,1714.9,1018.4,98.8,0.0,101.2,0.0,122.5,125.1,259.8,263.5,19.0,0.0,38.0,0.0,33.1,0.0,0.0,21.2,37.8,37.2,130.6,132.0,31.2,31.3,2.7,0.0,1.8,0.0,0.0,2.9,0.0,2.1
968,3,350063,35,1,3561.0,2113.6,3270.6,1826.1,35.3,25.0,257.0,257.9,5.9,0.0,0.0,6.5,654.1,28.4,384.8,34.4,1671.1,1306.3,49.3,0.0,50.5,0.0,127.8,130.5,321.0,326.6,7.0,0.0,5.0,0.0,35.3,0.0,0.0,25.0,49.6,48.9,168.5,170.1,38.9,38.9,3.6,0.0,2.2,0.0,0.0,3.9,0.0,2.6
969,3,350064,35,1,4496.9,2243.7,4256.0,2005.0,44.1,19.9,214.3,215.6,4.9,0.0,0.0,5.5,783.8,68.4,414.7,0.0,2335.0,1108.9,187.3,501.8,191.4,0.0,99.9,102.0,220.1,223.9,4.0,0.0,20.0,0.0,44.1,0.0,0.0,19.9,40.9,40.5,140.5,142.1,32.9,33.0,3.0,0.0,1.9,0.0,0.0,3.3,0.0,2.2
970,4,350065,35,1,3074.2,3068.7,2685.8,2648.0,24.5,35.0,377.5,378.8,8.5,0.0,0.0,9.6,430.4,42.2,258.4,44.0,1170.2,1941.9,74.5,0.0,76.2,0.0,173.0,176.7,434.0,443.1,50.0,0.0,19.0,0.0,24.5,0.0,0.0,35.0,73.8,72.5,246.2,248.8,57.6,57.5,5.3,0.0,3.3,0.0,0.0,5.8,0.0,3.8
971,4,350066,35,1,3884.9,2805.4,3530.4,2438.8,34.8,30.5,329.5,331.1,7.2,0.0,0.0,8.0,718.5,152.6,361.5,74.7,1756.5,1672.9,66.2,0.0,68.0,0.0,154.0,158.2,370.7,380.4,22.0,0.0,13.0,0.0,34.8,0.0,0.0,30.5,62.3,61.2,214.1,216.5,53.0,53.3,4.4,0.0,2.9,0.0,0.0,4.6,0.0,3.3
972,4,350067,35,1,2386.9,3076.7,2106.1,2765.8,15.4,33.5,273.5,274.8,6.3,0.0,0.0,6.8,315.7,745.0,163.3,181.9,799.5,1081.0,29.9,0.0,30.8,0.0,260.7,266.9,480.1,490.9,15.0,0.0,11.0,0.0,15.4,0.0,0.0,33.5,47.0,46.0,175.3,177.5,51.2,51.3,3.5,0.0,2.7,0.0,0.0,3.7,0.0,3.1
973,4,350068,35,1,5988.9,2904.7,5552.6,2476.4,55.6,30.4,388.0,391.3,8.0,0.0,0.0,8.9,1134.7,7.8,607.2,0.0,2991.3,1952.9,123.2,0.0,125.9,0.0,140.6,144.8,359.8,370.8,59.0,0.0,11.0,0.0,55.6,0.0,0.0,30.4,76.0,75.2,253.3,257.5,58.6,58.6,5.0,0.0,3.0,0.0,0.0,5.4,0.0,3.4
974,4,350069,35,1,8484.6,5321.9,7861.2,4679.9,72.6,48.2,582.4,586.7,11.2,0.0,0.0,12.4,1652.6,285.9,833.6,68.2,4031.4,2878.9,166.6,517.3,170.0,0.0,278.6,286.1,626.4,643.4,65.0,0.0,37.0,0.0,72.6,0.0,0.0,48.2,111.5,110.2,378.0,383.3,92.9,93.2,6.9,0.0,4.4,0.0,0.0,7.4,0.0,5.0
975,2,350070,35,1,125.6,544.0,81.8,490.6,0.0,8.4,43.6,43.8,1.2,0.0,0.0,1.5,0.0,385.1,0.0,0.8,1.0,24.3,0.0,0.0,0.0,0.0,65.1,65.8,14.8,14.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.4,5.0,5.0,29.2,29.5,9.4,9.3,0.6,0.0,0.6,0.0,0.0,0.7,0.0,0.8
