Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV,II_LT_D2D,II_LT_HnS,II_LT_Lcl,II_LT_Reg,II_LT_LHl,II_LT_Unk,II_MD_D2D,II_MD_HnS,II_MD_Lcl,II_MD_Reg,II_MD_LHl,II_MD_Unk,II_HV_D2D,II_HV_HnS,II_HV_Lcl,II_HV_Reg,II_HV_LHl,II_HV_Unk
        32,        6115.45,         596.84,        5734.84,          50.81,          50.83,        2117.23,        1810.84,        1608.72,              0,          87.38,         104.84,        1124.23,              0,         125.70,         123.73,              0,         188.04,         781.96,         228.24,          67.01,         257.39,           9.89,         170.38,         430.93,          14.99,           2.72,          19.33,          17.39,           7.43,          45.79,           5.27,           2.61,           8.12
        33,        5526.58,         579.41,        5284.36,          51.26,          32.63,        1943.38,        1676.16,        1420.52,              0,          88.51,         136.10,        1125.36,              0,         125.65,         143.74,              0,         176.86,         735.13,         224.58,          63.86,         237.69,           8.73,         179.55,         415.32,          16.42,           2.89,          20.36,          16.75,           8.60,          50.54,           6.25,           3.32,           9.61
        34,        5192.29,         623.44,        5115.79,          47.94,          15.46,        1837.83,        1540.66,        1307.71,              0,         112.47,         146.27,        1186.34,              0,         148.17,         159.27,              0,         188.28,         738.65,         226.13,          67.15,         235.82,          11.03,         220.00,         416.72,          19.45,           2.62,          20.86,          18.61,          11.20,          64.67,           7.30,           3.98,          11.88
        35,        4675.38,         592.64,        4568.44,          46.55,           7.64,        1674.23,        1405.34,        1328.50,              0,          91.07,         134.32,        1066.42,              0,         115.90,         139.89,              0,         169.12,         705.54,         223.65,          63.62,         219.07,          10.92,         221.08,         393.47,          20.64,           2.43,          19.78,          18.42,          11.28,          69.91,           8.00,           4.25,          13.97
        36,        4221.50,         579.73,        4110.94,          43.58,           1.55,        1550.34,        1268.44,        1108.87,              0,          77.01,          61.72,        1086.66,              0,         104.54,          74.98,              0,         162.33,         674.36,         212.31,          60.73,         201.71,          10.54,         255.18,         371.63,          23.91,           2.68,          18.04,          18.48,          14.58,          83.56,          10.12,           6.22,          16.59
        37,        3829.65,         527.86,        3635.19,          36.44,           0.09,        1413.94,        1131.52,        1168.72,              0,          70.01,          39.09,        1060.59,              0,          90.85,          49.81,              0,         151.82,         648.59,         205.35,          58.14,         192.32,           9.16,         246.51,         340.65,          23.04,           2.60,          14.93,          16.36,          14.03,          77.30,          10.63,           6.83,          16.60
        38,        3350.22,         417.42,        3118.44,          34.52,              0,        1322.55,        1068.87,        1235.61,              0,          60.27,          23.03,        1044.56,              0,          91.17,          34.84,              0,         138.81,         614.77,         194.81,          55.58,         178.10,           9.04,         260.73,         327.37,          25.27,           2.32,          14.09,          15.21,          15.06,          80.99,          11.82,           7.60,          18.32
        39,        3155.77,         433.14,        3040.83,          35.85,              0,        1250.52,        1001.57,        1053.52,              0,          71.15,          35.16,        1070.42,              0,          97.36,          45.09,              0,         145.13,         619.61,         199.08,          59.50,         183.39,           8.69,         263.85,         325.67,          26.83,           2.65,          14.72,          16.42,          17.14,          86.75,          13.98,           9.61,          20.78
        40,        2887.12,         401.58,        2777.58,          27.13,              0,        1103.84,         910.91,        1136.26,              0,          63.78,          30.17,         962.95,              0,          88.19,          36.77,              0,         122.67,         572.70,         180.54,          50.71,         161.22,           6.11,         222.67,         292.11,          21.16,           1.82,          12.93,          13.74,          12.66,          72.42,          10.10,           6.80,          15.84
        41,        2589.11,         250.98,        2395.11,          24.95,              0,        1023.60,         875.63,        1023.19,              0,          54.44,          21.72,         752.68,              0,          72.72,          28.81,              0,         115.06,         541.85,         175.49,          51.21,         153.85,           6.03,         236.24,         283.36,          23.32,           2.36,          13.23,          10.96,          13.00,          74.22,          10.45,           6.96,          17.27
        42,        2381.32,         218.84,        2295.37,          24.13,              0,         920.66,         788.06,         827.72,              0,          51.91,          31.52,         844.30,              0,          70.39,          32.05,              0,         105.30,         501.84,         160.57,          47.20,         140.15,           4.96,         212.98,         254.41,          19.24,           1.66,          12.27,          10.41,          12.61,          70.30,          10.29,           7.44,          16.44
        43,        2264.82,         216.73,        2107.35,          18.51,              0,         838.26,         717.39,         868.91,              0,          56.11,          34.46,         662.87,              0,          67.61,          33.21,              0,          95.27,         464.78,         147.89,          40.61,         127.90,           3.74,         202.17,         233.86,          17.18,           1.33,           9.72,           9.15,          11.15,          63.87,           9.15,           6.37,          14.62
        44,        2038.94,         174.39,        1886.17,          17.35,              0,         834.43,         697.57,         800.95,              0,          42.99,          36.87,         473.39,              0,          54.16,          32.43,              0,          92.30,         448.74,         144.95,          42.64,         126.02,           3.92,         189.94,         227.31,          16.96,           1.28,          10.05,           7.14,           9.72,          62.37,           8.01,           5.39,          13.86
        45,        1900.27,         152.93,        1872.22,          15.40,              0,         710.60,         601.08,         722.07,              0,          41.33,          35.55,         415.89,              0,          50.44,          33.16,              0,          78.32,         412.13,         132.69,          38.40,         112.86,           3.09,         199.15,         214.24,          17.71,           1.52,          10.05,           5.15,          11.40,          64.73,           8.73,           6.55,          15.10
        46,        1823.89,         143.29,        1705.43,          13.04,              0,         635.27,         534.55,         685.14,              0,          40.54,          48.34,         277.14,              0,          50.11,          46.28,              0,          71.00,         378.16,         122.72,          33.95,         102.84,           2.55,         172.71,         194.81,          14.17,           1.33,          10.94,           3.70,           8.96,          59.15,           6.58,           4.79,          12.99
        47,        1638.96,         141.85,        1599.48,          11.17,              0,         633.31,         491.93,         627.36,              0,          66.82,          80.21,         340.05,              0,          78.25,          76.07,              0,          61.34,         344.68,         109.94,          30.16,          91.77,           1.49,         161.18,         181.16,          14.26,           1.13,           9.92,           3.23,           9.21,          55.45,           7.40,           5.63,          13.44
        48,        1521.90,         128.71,        1404.01,           7.83,              0,         493.30,         407.62,         717.68,              0,          55.69,          89.24,         214.68,              0,          69.72,          91.74,              0,          55.39,         307.54,         103.68,          28.32,          84.70,           1.17,         158.29,         172.32,          14.11,           1.46,          10.53,           1.69,           8.82,          55.22,           6.91,           5.39,          13.70
        49,        1379.72,         103.12,        1274.78,           6.14,              0,         427.67,         358.30,         742.50,              0,          46.54,          77.11,         176.52,              0,          61.57,          84.66,              0,          43.23,         275.53,          94.07,          23.24,          72.69,           0.73,         135.18,         156.35,          10.80,           1.04,          10.24,           0.68,           6.72,          49.64,           5.12,           4.08,          11.90
        50,        1269.70,          95.64,        1144.46,           6.26,              0,         392.71,         313.85,         566.71,              0,          42.57,          98.43,         123.92,              0,          54.63,         106.72,              0,          36.48,         247.72,          85.66,          22.66,          64.45,           0.51,         127.64,         143.05,           9.50,           0.97,           9.93,           0.26,           5.96,          43.94,           4.35,           3.45,          10.81
        51,        1174.18,          85.27,        1003.70,           4.84,              0,         352.18,         279.69,         497.28,              0,          35.47,          90.19,         105.13,              0,          47.35,         101.39,              0,          29.94,         222.42,          73.96,          20.15,          55.93,           0.20,         113.44,         130.19,           8.92,           0.92,           9.55,           0.02,           5.75,          39.14,           4.50,           3.90,          10.63
        52,        1113.42,          72.67,         966.73,           2.69,              0,         302.37,         241.31,         556.33,              0,          34.25,          79.86,          90.01,              0,          46.96,          99.61,              0,          24.36,         194.80,          67.79,          17.39,          47.88,           0.13,          95.22,         117.23,           7.30,           0.68,           8.62,           0.02,           5.04,          33.50,           3.93,           3.85,           9.67
        53,        1107.62,          58.96,         956.00,           3.07,              0,         274.71,         202.34,         500.71,              0,          33.53,          98.45,          80.08,              0,          46.17,         124.25,              0,          22.40,         177.80,          61.19,          15.37,          43.81,           0.02,          89.03,         109.30,           7.07,           0.72,           8.71,              0,           4.67,          29.40,           3.55,           3.64,           9.92
        54,        1042.64,          57.46,         898.56,           1.60,              0,         231.59,         165.00,         467.13,              0,          38.13,         155.25,         100.15,              0,          56.11,         187.81,              0,          17.54,         157.06,          52.80,          13.20,          37.33,           0.02,          74.83,         100.82,           5.85,           0.42,           8.22,              0,           3.94,          27.24,           2.97,           3.05,           8.44
        55,         986.04,          52.19,         903.92,           0.65,              0,         211.34,         139.51,         537.20,              0,          30.44,          97.31,          92.72,              0,          44.55,         133.50,              0,          16.55,         142.99,          49.22,          11.36,          35.02,              0,          64.61,         103.16,           4.82,           0.54,           9.50,              0,           3.72,          24.57,           2.61,           2.66,           7.50
        56,         921.69,          44.89,         878.69,           0.35,              0,         166.67,         106.60,         547.39,              0,          30.97,         109.88,         162.08,              0,          48.31,         160.14,              0,          12.66,         125.22,          43.16,          10.85,          30.55,           0.02,          64.46,          97.20,           5.50,           0.62,           7.33,              0,           3.25,          23.43,           1.96,           2.35,           7.46
        57,         852.68,          42.57,         736.37,           0.35,              0,         147.85,          91.77,         355.92,              0,          19.95,         104.17,          95.31,              0,          30.88,         136.48,              0,          10.58,         113.20,          42.21,           9.36,          27.99,              0,          58.52,          95.65,           4.94,           0.53,           7.87,              0,           3.49,          22.98,           2.12,           2.45,           8.04
        58,         790.76,          37.14,         665.63,              0,              0,         132.44,          74.12,         377.51,              0,          16.80,         109.62,          96.48,              0,          27.86,         147.93,              0,           8.36,         103.46,          39.13,           8.51,          25.21,              0,          52.29,          96.67,           4.08,           0.95,           8.11,              0,           3.23,          22.10,           1.87,           2.14,           7.87
        59,         760.29,          30.41,         615.10,              0,              0,         119.50,          56.42,         310.56,              0,          28.07,         134.61,         220.08,              0,          40.19,         171.46,              0,           6.87,          96.61,          37.81,           8.01,          23.44,              0,          50.42,          98.62,           4.67,           0.57,           7.54,              0,           3.64,          23.95,           1.98,           2.38,           7.79
        60,         735.88,          27.09,         591.03,              0,              0,         110.93,          46.92,         330.34,              0,          20.54,         125.61,         171.29,              0,          34.65,         201.83,              0,           6.48,          93.03,          36.48,           8.02,          23.07,              0,          52.84,         108.29,           5.25,           0.89,           7.97,              0,           5.15,          26.79,           2.89,           3.70,          10.60
        61,         670.90,          20.51,         495.50,              0,              0,          90.69,          31.14,         354.85,              0,          22.72,         158.39,         176.48,              0,          34.28,         216.66,              0,           4.98,          81.80,          32.62,           5.53,          19.54,              0,          50.16,         100.46,           4.72,           0.60,           6.71,              0,           5.01,          27.23,           2.85,           3.99,          10.72
        62,         576.80,          16.37,         402.25,              0,              0,          72.46,          19.00,         392.25,              0,          29.17,         219.20,         192.98,              0,          38.87,         303.94,              0,           3.25,          66.33,          27.68,           5.02,          16.37,              0,          42.95,          92.81,           4.51,           0.80,           6.00,              0,           5.51,          25.87,           3.03,           4.63,          11.48
        63,         523.94,          12.56,         316.63,              0,              0,          57.35,           9.56,         324.94,              0,          33.43,         232.81,         203.23,              0,          47.36,         328.54,              0,           2.32,          61.63,          26.15,           4.39,          14.90,              0,          32.28,          92.95,           2.82,           0.85,           6.36,              0,           5.01,          22.72,           2.63,           4.11,           9.83
        64,         478.08,           8.87,         281.10,              0,              0,          41.47,           3.75,         320.13,              0,          32.52,         242.52,         194.29,              0,          43.92,         320.05,              0,           1.39,          51.14,          23.16,           3.47,          12.20,              0,          26.16,          88.88,           2.06,           0.88,           5.79,              0,           4.75,          20.43,           2.28,           3.63,           8.63
        65,         411.87,           6.70,         217.58,              0,              0,          33.41,           2.05,         304.77,              0,          42.60,         333.18,         293.75,              0,          54.53,         416.17,              0,           0.71,          44.55,          19.76,           3.22,          10.17,              0,          21.48,          79.26,           1.76,           0.56,           4.36,              0,           3.82,          18.51,           1.82,           3.06,           7.84
        66,         378.38,           2.93,         162.16,              0,              0,          23.52,           0.50,         258.30,              0,          37.06,         369.19,         270.86,              0,          47.44,         468.88,              0,           0.31,          36.71,          18.03,           2.64,           7.86,              0,          13.12,          73.57,           0.67,           0.68,           4.53,              0,           3.26,          14.93,           1.54,           2.41,           6.20
        67,         331.60,           1.21,         113.99,              0,              0,          15.82,           0.12,         269.12,              0,          41.63,         483.23,         301.93,              0,          53.88,         579.48,              0,           0.06,          33.78,          16.90,           2.26,           6.98,              0,          11.15,          72.53,           0.52,           0.72,           4.56,              0,           3.14,          13.83,           1.85,           2.70,           6.11
        68,         292.18,           0.32,          72.00,              0,              0,           8.32,              0,         278.28,              0,          25.92,         251.55,         213.01,              0,          36.71,         346.29,              0,           0.02,          30.21,          16.80,           2.16,           6.65,              0,           9.91,          68.71,           0.58,           0.85,           3.94,              0,           3.26,          13.32,           1.99,           3.02,           6.74
        69,         240.59,           0.06,          55.10,              0,              0,           4.26,              0,         308.10,              0,          24.56,         235.05,         230.19,              0,          33.22,         291.59,              0,           0.02,          23.44,          13.26,           1.62,           4.74,              0,           8.32,          56.53,           0.34,           0.36,           2.43,              0,           2.50,          13.14,           1.64,           2.34,           5.81
        70,         205.81,              0,          16.76,              0,              0,           1.64,              0,         257.00,              0,          20.17,         141.01,         178.27,              0,          29.30,         185.87,              0,              0,          18.92,          12.02,           0.80,           3.80,              0,           8.52,          52.85,           0.26,           0.49,           2.37,              0,           2.83,          13.24,           1.86,           2.92,           6.62
