Purpose,Period,AccessMode,SegID,LinkID,Direction,N,Mode,Name,LongName,RouteDir,Headway,Board,Board_FromSkim_LCL,Board_FromSkim_COR,Board_FromSkim_BRT,Board_FromSkim_EXP,Board_FromSkim_LRT,Board_FromSkim_CRT,Alight,Alight_FromSkim_LCL,Alight_FromSkim_COR,Alight_FromSkim_BRT,Alight_FromSkim_EXP,Alight_FromSkim_LRT,Alight_FromSkim_CRT,OD_Board,OD_Board_FromSkim_LCL,OD_Board_FromSkim_COR,OD_Board_FromSkim_BRT,OD_Board_FromSkim_EXP,OD_Board_FromSkim_LRT,OD_Board_FromSkim_CRT
All,ok,drive,0089_331.1,66725_66730,WB,  66725.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.27,      0.27,         0,         0,         0,         0,         0,      0.14,      0.14,         0,         0,         0,         0,         0
All,ok,drive,0089_331.6,66730_66737,NB,  66730.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2999_001.3,66737_66735,WB,  66737.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.17,      0.17,         0,         0,         0,         0,         0,      0.09,      0.09,         0,         0,         0,         0,         0
All,ok,drive,2999_001.3,66735_66740,WB,  66735.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2999_000.6,66740_66742,WB,  66740.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2999_000.6,66742_66746,WB,  66742.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2999_000.6,66746_66741,WB,  66746.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,2999_000.3,66741_66743,WB,  66741.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,3033_000.0,66743_66750,NB,  66743.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,      0.13,      0.13,         0,         0,         0,         0,         0,      0.16,      0.16,         0,         0,         0,         0,         0,      0.15,      0.15,         0,         0,         0,         0,         0
All,ok,drive,3033_000.0,66750_66768,NB,  66750.00,      4.00,M821_Psn,M821_Psn,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
