TAZID,CO_TAZID,CO_FIPS,SUBAREAID,AREATYPE,TOTAL_P,TOTAL_A,TOTPER_P,TOTPER_A,TOTEXT_P,TOTEXT_A,HBW_P,HBW_A,HBSHP_P,HBSHP_A,HBOTH_P,HBOTH_A,HBSCHPR_P,HBSCHPR_A,HBSCHSC_P,HBSCHSC_A,NHBW_P,NHBW_A,NHBNW_P,NHBNW_A,HBC_P,HBC_A,TTUNIQUE_P,TTUNIQUE_A,IX_P,IX_A,XI_P,XI_A
1080,350175,35,1,5,3332.5,10337.6,2472.2,9245.7,0.0,124.3,0.0,2472.1,0.0,444.5,105.0,3995.5,0.0,0.0,0.0,0.0,793.8,816.6,1468.4,1516.9,0.0,0.0,105.0,0.0,0.0,0.0,0.0,124.3
1081,350176,35,1,5,2708.4,7491.6,2107.1,6768.3,0.0,85.8,0.0,2133.7,0.0,431.4,38.0,2194.4,0.0,0.0,0.0,0.0,666.8,686.3,1280.3,1322.6,84.0,0.0,38.0,0.0,0.0,0.0,0.0,85.8
1082,350177,35,1,5,3538.1,10309.1,2864.7,9458.0,7.8,155.9,131.6,3617.2,80.0,193.8,345.7,3311.7,6.0,0.0,6.3,0.0,974.4,1004.6,1284.6,1330.7,8.0,0.0,28.0,0.0,7.8,0.0,0.0,155.9
1083,350178,35,1,5,3274.9,5743.5,2844.0,5211.5,16.1,83.2,294.9,1268.1,150.4,396.1,718.2,1893.4,20.4,0.0,21.1,0.0,500.8,516.4,1098.2,1137.6,6.0,0.0,34.0,0.0,16.1,0.0,0.0,83.2
1084,350179,35,1,5,6642.8,10119.9,6144.1,9474.7,28.2,148.6,523.0,1516.4,266.6,1849.6,1259.7,2024.8,42.5,0.0,43.5,0.0,1057.8,1089.8,2893.1,2994.0,32.0,0.0,26.0,0.0,28.2,0.0,0.0,148.6
1085,350180,35,1,5,2466.8,5134.0,2127.0,4705.4,8.6,76.5,158.0,1229.9,73.5,236.3,384.3,1748.7,12.7,0.0,13.3,0.0,538.2,554.6,903.1,935.9,24.0,0.0,20.0,0.0,8.6,0.0,0.0,76.5
1086,350181,35,1,5,3915.0,6484.5,3428.0,5907.6,19.0,91.8,353.9,1162.8,175.2,418.8,827.9,2275.7,24.0,0.0,24.8,0.0,650.3,670.2,1332.9,1380.0,25.0,0.0,14.0,0.0,19.0,0.0,0.0,91.8
1087,350182,35,1,5,1980.3,5447.0,1560.0,4954.5,11.0,73.0,213.6,1715.5,100.7,157.7,480.6,2338.6,13.1,0.0,13.8,0.0,269.3,277.3,449.8,465.3,10.0,0.0,9.0,0.0,11.0,0.0,0.0,73.0
1088,350183,35,1,5,1784.7,3140.8,1537.5,2848.6,7.5,46.1,115.8,703.6,56.2,109.6,378.3,1332.5,29.1,23.7,30.0,0.0,236.3,243.6,420.7,435.5,265.0,0.0,6.0,0.0,7.5,0.0,0.0,46.1
1089,350184,35,1,5,2281.0,2436.1,2095.5,2229.8,20.9,35.2,393.5,243.7,191.2,127.9,905.8,1319.3,26.9,0.0,27.8,0.0,153.5,158.0,367.8,380.9,23.0,0.0,6.0,0.0,20.9,0.0,0.0,35.2
1090,350185,35,1,5,3368.4,4392.6,3031.5,3993.6,23.1,58.8,449.3,598.0,209.6,247.5,1017.4,1871.3,29.6,0.0,30.6,0.0,390.8,403.1,844.3,873.6,35.0,0.0,25.0,0.0,23.1,0.0,0.0,58.8
1091,350186,35,1,5,3657.9,3427.5,3431.0,3160.4,30.4,52.0,561.8,265.3,286.3,230.2,1281.6,1550.8,43.4,0.0,44.5,0.0,317.0,326.8,760.3,787.2,120.0,0.0,16.0,0.0,30.4,0.0,0.0,52.0
1092,350187,35,1,5,3126.4,4189.3,2877.2,3881.2,17.1,61.7,315.9,507.4,162.5,676.5,750.4,1101.5,23.2,0.0,24.1,0.0,408.4,421.0,1134.8,1174.7,44.0,0.0,14.0,0.0,17.1,0.0,0.0,61.7
1093,350188,35,1,5,2312.5,3303.3,2049.3,3008.2,17.3,43.9,298.7,791.2,174.7,96.8,783.4,1368.3,22.5,0.0,23.4,0.0,280.3,288.6,448.2,463.3,13.0,0.0,5.0,0.0,17.3,0.0,0.0,43.9
1094,350189,35,1,4,5995.9,6547.3,5567.4,6000.1,34.2,108.4,610.0,619.2,310.6,600.6,1416.8,1742.2,46.7,0.0,48.1,0.0,898.3,926.6,2038.8,2111.4,159.0,0.0,39.0,0.0,34.2,0.0,0.0,108.4
1095,350190,35,1,5,2649.0,5538.7,2242.6,5044.9,7.4,80.1,134.6,852.6,69.1,661.2,329.9,1805.0,9.7,0.0,10.1,0.0,496.8,512.0,1174.4,1214.1,4.0,0.0,14.0,0.0,7.4,0.0,0.0,80.1
1096,350191,35,1,4,3277.0,5390.9,2862.1,4906.4,20.2,78.0,343.6,1205.9,194.6,296.5,889.7,1872.4,27.4,0.0,28.2,130.7,465.5,480.3,890.1,920.6,13.0,0.0,10.0,0.0,20.2,0.0,0.0,78.0
1097,350192,35,1,4,4071.0,5211.6,3629.7,4702.1,33.5,83.5,604.1,1240.0,301.9,144.8,1385.7,2152.2,45.0,0.0,46.2,0.0,413.0,426.0,714.8,739.1,104.0,0.0,15.0,0.0,33.5,0.0,0.0,83.5
1098,350193,35,1,4,4443.1,2962.2,4211.0,2718.5,46.5,46.9,803.1,270.2,416.4,32.2,2051.0,1772.7,75.8,0.0,77.7,0.0,198.2,204.4,424.7,439.0,157.0,0.0,7.0,0.0,46.5,0.0,0.0,46.9
1099,350194,35,1,4,4297.1,3384.2,4048.0,3108.7,43.2,51.8,779.2,374.1,394.3,89.8,1844.5,1922.5,61.7,0.0,63.2,0.0,218.5,225.1,481.6,497.2,191.0,0.0,14.0,0.0,43.2,0.0,0.0,51.8
1100,350195,35,1,4,3348.0,1921.2,3187.0,1757.5,36.9,30.4,627.3,88.0,332.8,26.8,1635.9,1263.0,61.3,0.0,62.7,0.0,107.5,110.3,261.6,269.4,91.0,0.0,7.0,0.0,36.9,0.0,0.0,30.4
1101,350196,35,1,4,4744.6,4393.3,4415.1,4006.3,26.7,67.3,451.1,433.6,240.3,447.0,1234.4,864.4,55.6,0.0,57.1,0.0,678.9,697.9,1521.8,1563.4,160.0,0.0,16.0,0.0,26.7,0.0,0.0,67.3
1102,350197,35,1,4,10038.4,27163.9,7540.5,24195.5,36.1,392.6,624.6,12296.3,321.0,125.3,1854.2,7235.9,96.1,8.0,97.9,51.7,2168.6,2220.1,2217.2,2258.2,64.0,0.0,97.0,0.0,36.1,0.0,0.0,392.6
